doc_index,content_type,style_name,text,level,num_id
1,paragraph,Normal,"Эх, сез матур кызлар Эх сез матур кызлар Дус-ишләрем уйный-көлә Мин генә көлмим Уенның да ямен тапмыйм Ни булды, белмим Эх, сез матур кызлар Ник шаяртасыз? Йөрәгемнең януларын аңламыйсыз Мин эшемдә гел почетта Һәрчак мактыйлар Кызлар гына урап уза Эх, яратмыйлар Эх, сез матур кызлар Ник шаяртасыз? Йөрәгемнең януларын аңламыйсыз Йөрәгемдә утлар яна Һич төшенмисез Арагыздан берегезне Сөям өметсез Эх, сез матур кызлар Ник шаяртасыз? Йөрәгемнең януларын аңламыйсыз Нигә сезгә аңлашылмый Минем хисләрем Шулай ук ялгыз үтәрме Минем кичләрем? Эх, сез матур кызлар Ник шаяртасыз? Йөрәгемнең януларын аңламыйсыз",NA,NA
2,paragraph,Normal,"Яратыгыз Яратырга килдек без бу жиргэ, Яратмаган йорэк яналмый, Яратмаган йорэк-йорэк тугел, Яналмаган йорэк - йорэк тугел- Яратмыйча безгэ карамый. Яратыгыз туган илебезне, Яратыгыз туган телебезне, Бернигэ дэ карамый,- Мэхэббэтсез яшэу ярамый! Яратулар булмый жинел генэ- Кунеллэрне мен кат яралый. Тик барыбер яратырга кирэк, Сагышларны таратырга кирэк,- Яратмыйча безгэ ярамый. Яратыгыз газиз аналарны, Яратыгыз газиз балаларны, Бер нигэ дэ карамый,- Мэхэббэтсез яшэу ярамыйЯратмаган кеше яратмасын, Андыйларга яну ярамый, Яратырга кирэк Тахир кебек, Яратырга кирэк Зехрэ кебек,- Яратмыйча безгэ ярамый Яратыгыз туган ягыгызны, Яратыгыз сойгэн ярыгызны, Бер нигэ дэ карамый,- Мэхэббэтсез яшэу ярамый",NA,NA
3,paragraph,Normal,"Аерылмагыз Су буенда ялгыз аккош, Каерылган канатлары. Канатларны каера ул Аерылу газаплары. Аерылмагыз, аерылмагыз, Булса да сәбәпләре. Канатларны каера ул Аерылу сәгатьләре. Ят кошны пар итмәс аккош, Ялгыз канат какса да. Без дә бергә булалмабыз, Сулар үргә акса да. Ялгыз аккош күргән саен Өзелә бәгырьләрем. Нигә без бергә чакларның Белмибез кадерләрен?! Су буенда ялгыз аккош, Каерылган канатлары. Канатларны каера ул Аерылу газаплары. Аерылмагыз, аерылмагыз, Булса да сәбәпләре. Гомерләрне кыскарта ул Аерылу сәгатьләре.",NA,NA
4,paragraph,Normal,"Иске кара урман Кара да гынай урман, караңгы төн, Яхшы атлар кирәк лә үтәргә; Карурманны чыккан чакта Кисеп алдым пар усак, Ай, аерылмас дус булсак. Заманалар авыр, еллар ябык, Дус-иш кирәк гомер итәргә; Карурманны чыккан чакта Кисеп алдым пар каен, Ай, аерылмаек, дускаем. Кара да гына елан, ай, туз башлы, Йөридер лә камыш буенча; Карурманга кергән чакта Кисеп алдым пар усак, Ай, аерылмас дус булсак. Ялгыз башым, юк юлдашым, Йөримен лә язмыш буенча; Карурманга кергән чакта Кисеп алдым пар каен, Ай, аерылмаек, дускаем.  Кара да гына урман, караңгы төн, Нинди юллар белән лә үтәрбез; Карурманны чыккан чакта Кисеп алдым пар усак, Ай, аерылмас дус булсак. Дус-иш белән бергә эш иткәндә, Теләкләргә тизрәк лә җитәрбез; Карурманны чыккан чакта Кисеп алдым пар каен, Ай, аерылмаек, дускаем.",NA,NA
5,paragraph,Normal,"Туган як Туган якка юл тотамын Туган як, туган як Иң гүзәл газиз якка Туган як, туган як Җир җиләкләре пешкән чак Туган як, туган як Ашыгам каенлыкка Туган як, туган як Талпына куңел, талпына ашкына Ярсуына түз, түз генә Каенлыкта җиләк пешкән Тиз үрелеп өз генә Чәчәкләрнең ниндие юк Туган як, туган як Хуш исле аллы-гөлле Туган як, туган як Бу якларга беркайда да Туган як, туган як Һич тиңнәр булмас төсле Туган як, туган як Талпына куңел, талпына ашкына Ярсуына түз, түз генә Каенлыкта җиләк пешкән Тиз үрелеп өз генә Каенлыкта сайрый кошлар Сайрый – сайрый кошлар Бер туктамый өздереп Өздереп- өздереп Озакламам кайтырмын мин Кайтырмын – кайтырмын Торып булмас көттереп Көттереп –көттереп Талпына куңел, талпына ашкына Ярсуына түз, түз генә Каенлыкта җиләк пешкән Тиз үрелеп өз генә",NA,NA
6,paragraph,Normal,"Су буеннан әнкәй кайтып килә, Су буеннан әнкәй кайтып килә, Каз каурые алган кулына. Чәчләренә, җылы карлар булып, Тал мамыгы ява тын гына. Хәтерлиме әнкәй күпме еллар Шушы сукмаклардан узганын? Эзләп төште микән сагынып ул Чишмәдән су алган кыз чагын?.. Шул чакларга алып китәр сыман - Атлар уйнап чаба үзәннән. Туган җирләр әнкәй белән бергә Бик үзгәргән инде, үзгәргән. Су буеннан әнкәй кайтып килә, Каз каурые алган кулына. Эзләренә, җылы карлар булып, Тал мамыгы ява тын гына…",NA,NA
7,paragraph,Normal,"Эх, тала, тала, тала Сандугачлар ияләшкән Су эчәргә миләштән. Кайгыларым бетәр иде Сине күреп сөйләшсәм. Эх, тала, тала, тала, Тала ике беләгем. Нигә тала, нигә яна Икән минем йөрәгем? Агыйлделгә басма салдым Каенын сайлап кына. Яннарына барыр идем Кош булып сайрап кына. Эх, тала, тала, тала, Тала ике беләгем. Нигә тала, нигә яна Икән минем йөрәгем? Агыйделкәйне кичкәндә Җырлыйм ишкәк ишкәндә. Өзелә үзәк, яна йөрәк Җаныем искә төшкәндә. Эх, тала, тала, тала, Тала ике беләгем. Нигә тала, нигә яна Икән минем йөрәгем? Агыйдел суы тирбәлә Уртасында сал булса. Суга салсаң, калкып чыгар, Безгә насыйп яр булса Эх, тала, тала, тала, Тала ике беләгем. Нигә тала, нигә яна Икән минем йөрәгем?",NA,NA
8,paragraph,Normal,"Мин яратам сине Татарстан Мин яратам сине Татарстан Мин яратам сине, Татарстан, Ал таңнарың өчен яратам, Күк күкрәп, яшен яшьнәп яуган Яңгырларың өчен яратам. Мин яратам сине, Татарстан, Горур халкың өчен яратам, Җан эреткән әнкәм телең өчен, Татар телең өчен яратам. Мин яратам сине, Татарстан, Тугайларың өчен яратам, Тукайларың, Сәйдәшләрең өчен, Җәлилләрең өчен яратам. Мин яратам гүзәл Чаллы ягын, Киң күңелле Казан каласын. Кем уйлаган чит җирләрдән килеп, Татарстан, синдә каласым. Татарстан, сине яратам!",NA,NA
9,paragraph,Normal,"Туй күлмәге Туй күлмәге ак ефәктән, Кызлар — гүя аккошлар. Аклык бит ул, сафлык бит ул, Яусын, әйдә, алкышлар! Туй күлмәге кигән кыздан Көнләшеп лә үләрлек. Туй күлмәге бер көнлекме? — Туй күлмәге гомерлек! Ак күлмәкләр, ак теләкләр Туйда гомер-гомердән. Туй күлмәге кигән кызның Урыны була гел түрдән. Туй күлмәге кигән кыздан Көнләшеп лә үләрлек. Туй күлмәге бер көнлекме? — Туй күлмәге гомерлек! Бәхет бит ул, шатлык бит ул, Туй күлмәге киюе. — Иркәм, — диеп, — ярым, — диеп, Онытылып сөюе. Туй күлмәге кигән кыздан Көнләшеп лә үләрлек. Туй күлмәге бер көнлекме? — Туй күлмәге гомерлек!",NA,NA
10,paragraph,Normal,"СУ БУЕНДА УЧАК ЯНА Тып-тын калган төнге авыл, Йоклый авыл, сүнгән уты. Кайттым сиңа еллар узгач, Хәтер уйный, керми йокы. Су буенда учак яна. Кем кабызган ул учакны? Төшсәм әгәр су буена,Табармын күк балачакны. Тыныч сулап йоклый авыл, Йөрим төнге урамында.Таныш сукмак, таныш кое —Утсыз да мин күрәм монда. Су буенда учак яна, Сүнмәс микән таңга чаклы? Урамыңда, туган авылым, Табармын күк балачакны. Хәтерләсәң, онытмасаң, Мин башканы өмет итмим. Ялантәпи урамыңда Уйнап үскен балаң бит мин. Су буенда учак яна, Хатирәләр төсле якты. Кайттым кебек яшьлегемә, Табармын күк балачакны",NA,NA
